aid,data,label
31,0313,14
32,0219,1
32,0220,11
32,0221,6
32,0222,5
32,0226,3
32,0227,3
32,0228,1
32,0301,5
32,0302,1
32,0306,3
32,0308,4
32,0311,2
32,0312,1
32,0313,3
32,0314,4
32,0315,1
32,0316,1
32,0317,4
32,0318,2
32,0319,4
84,0307,1
84,0308,21
84,0309,9
84,0310,16
85,0301,2
85,0302,1
85,0311,1
85,0314,1
128,0307,7
139,0218,1
168,0317,1
180,0317,1
180,0318,47
180,0319,65
193,0228,2
193,0307,2
235,0226,1
235,0227,1
235,0301,1
235,0302,8
235,0303,3
235,0304,1
235,0306,2
235,0307,1
235,0308,5
235,0309,2
247,0221,1
247,0313,1
247,0314,2
247,0317,1
260,0228,2
260,0302,1
260,0305,1
260,0306,2
332,0227,2
332,0228,9
332,0301,2
332,0302,5
332,0304,2
332,0306,2
332,0310,1
332,0311,1
332,0314,1
387,0301,42
387,0302,11
394,0306,2
394,0307,1
394,0308,21
394,0309,6
394,0310,6
394,0312,7
394,0313,7
394,0314,2
394,0315,6
394,0316,9
394,0317,1
394,0319,2
399,0304,51
410,0222,1
410,0223,1
410,0226,1
415,0217,6
415,0218,1
415,0219,2
415,0220,2
415,0221,2
415,0223,3
415,0225,1
415,0226,9
415,0227,3
415,0301,34
415,0303,1
415,0304,6
415,0305,4
415,0306,1
415,0307,2
415,0308,7
415,0309,4
415,0310,3
415,0311,4
415,0312,6
415,0314,4
415,0315,4
415,0317,1
415,0318,2
415,0319,1
430,0217,1
430,0218,1
430,0220,1
430,0221,1
430,0222,1
430,0223,1
430,0225,1
430,0226,2
430,0227,2
430,0228,1
430,0301,1
430,0302,1
430,0303,2
430,0305,1
430,0306,1
430,0310,2
430,0313,1
430,0315,2
430,0317,1
430,0319,1
437,0217,8
437,0218,10
492,0217,10
492,0218,2
492,0221,1
492,0224,2
492,0228,5
492,0301,2
552,0312,38
562,0224,1
562,0304,1
586,0313,19
586,0315,39
586,0316,52
586,0317,32
586,0318,41
586,0319,25
635,0314,1
635,0315,18
635,0316,26
635,0317,31
635,0318,18
635,0319,27
647,0302,1
647,0305,3
647,0306,4
647,0307,2
647,0308,1
647,0309,2
647,0313,1
647,0314,1
647,0317,2
647,0318,5
694,0224,1
700,0316,17
700,0319,1
701,0217,1
705,0319,4
718,0226,1
718,0304,5
718,0305,1
718,0313,3
748,0217,1
748,0218,1
748,0219,1
748,0221,4
748,0222,3
748,0223,3
748,0228,1
748,0301,1
748,0307,1
748,0313,12
748,0314,5
748,0315,7
748,0316,2
748,0317,2
748,0318,4
748,0319,19
750,0309,19
750,0310,28
764,0225,98
853,0304,2
853,0305,1
853,0309,2
853,0314,5
853,0315,1
853,0316,14
853,0317,4
853,0318,1
890,0223,1
890,0224,9
890,0225,12
890,0226,1
909,0307,1
909,0308,1
909,0313,1
935,0223,2
935,0224,1
935,0225,1
935,0226,1
935,0227,1
935,0301,2
979,0224,1
979,0225,1
979,0226,1
979,0227,1
979,0303,2
979,0309,1
979,0310,3
979,0312,1
979,0313,2
979,0314,1
979,0316,1
979,0317,1
1086,0304,20
1086,0305,12
1086,0306,1
1090,0308,2
1090,0309,6
1090,0310,1
1090,0311,1
1090,0312,2
1090,0314,1
1090,0317,4
1090,0319,1
1114,0226,10
1114,0301,4
1118,0318,50
1158,0317,22
1158,0318,16
1158,0319,7
1175,0301,1
1175,0303,2
1175,0304,3
1175,0306,1
1175,0308,1
1175,0312,1
1175,0314,3
1175,0315,3
1175,0316,4
1175,0317,1
1175,0318,2
1175,0319,7
1183,0315,4
1183,0316,2
1183,0317,6
1183,0318,4
1216,0227,1
1216,0304,2
1216,0305,14
1216,0308,2
1216,0309,9
1216,0315,3
1216,0316,12
1216,0317,1
1216,0318,2
1225,0218,3
1225,0225,6
1265,0219,1
1280,0304,1
1280,0305,53
1280,0306,26
1280,0307,17
1280,0308,24
1280,0309,41
1280,0310,34
1280,0311,40
1280,0312,31
1280,0313,26
1280,0314,40
1280,0315,30
1280,0316,32
1280,0317,36
1280,0318,34
1280,0319,26
1298,0220,1
1298,0221,1
1298,0222,1
1298,0224,1
1298,0305,1
1298,0309,1
1307,0302,13
1307,0303,25
1307,0304,16
1307,0305,17
1307,0306,29
1307,0307,25
1307,0308,33
1307,0309,25
1307,0310,24
1307,0311,22
1307,0312,32
1307,0313,29
1307,0314,37
1307,0315,18
1307,0316,21
1307,0317,33
1307,0318,26
1307,0319,37
1351,0219,1
1351,0221,1
1351,0222,1
1351,0223,7
1351,0226,1
1383,0217,10
1383,0219,4
1383,0220,11
1383,0221,21
1383,0222,8
1383,0223,30
1383,0224,7
1383,0225,5
1383,0226,11
1383,0227,5
1383,0228,10
1383,0301,12
1383,0302,24
1383,0303,20
1383,0304,8
1383,0305,9
1383,0306,4
1383,0307,2
1383,0308,11
1383,0309,17
1383,0310,9
1383,0311,2
1383,0312,1
1383,0313,1
1383,0315,1
1383,0316,7
1383,0317,10
1383,0318,4
1383,0319,1
1387,0218,13
1387,0219,1
1387,0220,2
1387,0221,1
1387,0222,3
1391,0319,1
1427,0309,1
1427,0315,1
1427,0316,2
1427,0318,2
1444,0305,1
1444,0306,1
1450,0228,44
1450,0301,136
1471,0304,22
1471,0305,12
1491,0301,1
1491,0302,54
1491,0303,26
1491,0304,79
1491,0305,42
1491,0306,37
1491,0307,52
1491,0308,57
1491,0309,51
1491,0310,52
1491,0311,49
1491,0312,48
1491,0313,51
1491,0314,66
1491,0315,50
1491,0316,50
1491,0317,39
1491,0318,43
1491,0319,44
1496,0217,82
1496,0218,55
1496,0219,51
1496,0220,53
1496,0315,14
1496,0316,14
1496,0317,14
1496,0318,20
1496,0319,1
1551,0311,8
1551,0312,1
1647,0220,2
1647,0304,1
1647,0312,1
1677,0308,20
1677,0309,8
1746,0222,1
1746,0223,5
1747,0217,1
1747,0218,1
1747,0219,1
1747,0223,2
1747,0224,2
